Sample,Mutation,Compression,n_Nodes,n_Edges,Total_Length,n_Mitochondria,Ave_Edge_Length,Median_Edge_Length,Ave_Width_um,Std_Width_um,ThreeWayJunc,FourWayJunc,MitoGraphCS
Cancer_2W_001_000,Cancer,2W,764,734,915.29949,120,1.24700203,1.01655,0.25659,0.06184,55,4,637.9150889
Cancer_2W_002_001,Cancer,2W,951,739,776.2572,260,1.050415697,0.73511,0.2487,0.06639,43,6,494.856897
Cancer_2W_003_002,Cancer,2W,746,615,691.61728,178,1.124580943,1.589965,0.25978,0.06263,33,0,451.2824365
Cancer_2W_003_003,Cancer,2W,691,568,680.06206,172,1.197292359,0.800835,0.26465,0.06436,26,5,441.1998019
Cancer_2W_003_004,Cancer,2W,609,527,533.85138,124,1.013000721,1.200125,0.25773,0.0677,27,6,361.0293807
Cancer_2W_003_005,Cancer,2W,697,574,614.99641,168,1.071422317,1.01367,0.26167,0.06409,21,5,398.3941271
Cancer_2W_004_006,Cancer,2W,473,415,462.25727,97,1.11387294,1.07075,0.25784,0.0607,26,3,310.3377719
Cancer_2W_005_007,Cancer,2W,657,531,529.37655,174,0.996942655,0.989455,0.2539,0.06919,22,8,341.6883244
Cancer_2W_006_008,Cancer,2W,546,459,489.61454,124,1.066698344,0.618465,0.24194,0.06837,22,6,325.3276282
Cancer_2W_007_009,Cancer,2W,841,790,816.69173,144,1.033787,0.981745,0.24751,0.06496,62,9,569.2627364
Cancer_2W_007_010,Cancer,2W,258,220,280.97475,59,1.277157955,1.33571,0.26378,0.06467,14,2,188.0773984
Cancer_2W_008_011,Cancer,2W,1103,855,996.45268,314,1.165441731,1.28536,0.25126,0.06638,37,4,625.5212004
Cancer_2W_009_012,Cancer,2W,992,760,818.12021,289,1.076473961,1.15615,0.26372,0.06516,31,3,508.3170602
Cancer_2W_010_013,Cancer,2W,1077,850,889.43484,285,1.046393929,1.08511,0.25835,0.0667,35,11,568.2234582
Cancer_2W_011_014,Cancer,2W,899,800,890.36285,183,1.112953563,0.85643,0.25814,0.06381,37,6,599.5848378
Cancer_2W_012_015,Cancer,2W,666,609,734.34068,140,1.205813924,1.796875,0.26163,0.06763,33,5,499.9242495
Cancer_2W_013_016,Cancer,2W,539,470,527.74891,112,1.122870021,0.990845,0.25645,0.06487,28,3,355.1087873
Cancer_2W_013_017,Cancer,2W,1225,1059,1061.61929,253,1.002473362,0.81422,0.24721,0.06759,67,14,712.2572032
Cancer_2W_014_018,Cancer,2W,1846,1589,1666.74848,400,1.048929188,0.72841,0.25365,0.06614,104,21,1118.377181
Cancer_2W_015_019,Cancer,2W,534,500,522.04425,98,1.0440885,1.21196,0.25429,0.06524,35,7,363.5167797
Cancer_2W_015_020,Cancer,2W,1137,949,979.26296,267,1.031889315,0.76835,0.2538,0.06732,41,14,641.3988525
Cancer_2W_016_021,Cancer,2W,1516,1337,1365.64114,305,1.021421945,0.90792,0.25019,0.06606,73,18,921.1745773
Cancer_2W_016_022,Cancer,2W,1413,1271,1259.19864,260,0.990714902,0.900155,0.24442,0.06668,81,17,857.3344584
Cancer_2W_017_023,Cancer,2W,908,808,1035.76232,186,1.281884059,1.446495,0.26749,0.06189,37,3,689.1070839
Cancer_2W_018_024,Cancer,2W,656,570,594.1609,136,1.042387544,0.90886,0.2531,0.0674,24,7,394.0884533
Cancer_2W_018_025,Cancer,2W,774,711,699.94118,144,0.984446104,0.86521,0.24729,0.06638,47,9,481.3412367
Cancer_2W_019_026,Cancer,2W,950,766,796.81348,248,1.040226475,0.87278,0.25689,0.06833,30,9,511.6454739
Cancer_2W_020_027,Cancer,2W,613,463,471.077,181,1.017444924,0.72841,0.26589,0.06893,19,7,294.6106363
Cancer_2W_020_028,Cancer,2W,376,287,376.87482,116,1.313152683,1.292675,0.26632,0.06362,13,1,233.8769756
Cancer_2W_021_029,Cancer,2W,1139,886,929.53373,317,1.049135135,0.98656,0.26544,0.06722,35,2,582.2943074
Cancer_2W_022_030,Cancer,2W,918,779,787.31009,218,1.010667638,1.038515,0.25633,0.0658,45,3,518.0699116
Cancer_2W_023_031,Cancer,2W,549,477,584.41457,123,1.225187778,1.5141,0.27165,0.05743,25,5,391.3007426
Cancer_2W_024_032,Cancer,2W,1439,1205,1242.651,341,1.031245643,1.21889,0.25416,0.06507,70,9,815.159217
Cancer_2W_024_033,Cancer,2W,612,432,449.99523,204,1.041655625,0.72841,0.26832,0.06947,11,5,270.1081105
Cancer_2W_025_034,Cancer,2W,707,588,663.98394,164,1.129224388,1.622805,0.26491,0.0653,22,4,435.6248105
Cancer_2W_026_035,Cancer,2W,758,581,624.76633,234,1.075329312,1.17895,0.26183,0.06572,17,4,386.5124443
Cancer_2W_026_036,Cancer,2W,545,494,460.09645,109,0.931369332,0.92645,0.2563,0.06518,31,8,314.2715042
Cancer_2W_027_037,Cancer,2W,731,595,595.73608,183,1.001237109,0.78232,0.2582,0.06899,20,4,383.787591
Cancer_2W_027_038,Cancer,2W,613,472,478.4836,175,1.013736441,0.89055,0.2623,0.06606,25,4,302.3207921
Cancer_2W_028_039,Cancer,2W,1064,965,1119.82457,181,1.160439969,1.25525,0.25809,0.06022,51,10,766.829827
Cancer_2W_029_040,Cancer,2W,1070,855,908.85499,287,1.062988292,1.19217,0.26456,0.0662,24,4,576.5011388
Cancer_2W_030_041,Cancer,2W,478,371,448.70177,141,1.209438733,1.49181,0.26704,0.06238,10,1,278.8825791
Cancer_aga_001_042,Cancer,Agarose,1217,1119,1233.53935,227,1.102358668,1.12042,0.2496,0.06462,70,16,840.9666651
Cancer_aga_002_043,Cancer,Agarose,756,603,692.84562,192,1.148997711,1.296155,0.26334,0.06884,20,6,445.9159654
Cancer_aga_002_044,Cancer,Agarose,462,346,441.68108,140,1.276534913,1.34685,0.27569,0.06773,6,1,270.8486478
Cancer_aga_003_045,Cancer,Agarose,1132,940,1032.85241,267,1.09877916,1.13494,0.25605,0.06609,51,9,674.835722
Cancer_aga_004_046,Cancer,Agarose,506,384,466.27647,142,1.214261641,0.95062,0.27304,0.0676,11,2,291.5789271
Cancer_aga_005_047,Cancer,Agarose,1220,958,1037.79087,346,1.083289008,0.89019,0.26112,0.06707,40,10,650.9569793
Cancer_aga_006_048,Cancer,Agarose,1122,1027,1193.66721,198,1.162285501,0.909865,0.25915,0.06478,67,9,822.1094192
Cancer_aga_007_049,Cancer,Agarose,607,508,539.26587,136,1.061546988,0.66877,0.26251,0.06821,27,3,354.430301
Cancer_aga_008_050,Cancer,Agarose,559,419,546.70557,173,1.304786563,1.00944,0.26763,0.07781,11,3,336.0095818
Cancer_aga_008_051,Cancer,Agarose,550,425,561.79591,162,1.321872729,1.13108,0.28836,0.06723,13,2,350.0202852
Cancer_aga_009_052,Cancer,Agarose,452,346,426.77952,149,1.233466821,1.14115,0.29193,0.07816,11,1,256.1099446
Cancer_aga_011_053,Cancer,Agarose,669,572,703.07894,150,1.229158986,1.160065,0.26395,0.06403,26,11,470.7703288
Cancer_aga_012_054,Cancer,Agarose,1394,1433,1756.98183,147,1.226086413,1.07506,0.25396,0.06115,109,26,1299.501897
Cancer_aga_013_055,Cancer,Agarose,1099,1027,1145.11218,183,1.115006991,0.93633,0.24438,0.0631,71,14,798.1642975
Cancer_aga_014_056,Cancer,Agarose,489,436,490.72057,90,1.125505894,1.419335,0.25566,0.06627,24,1,330.3363709
Cancer_aga_014_057,Cancer,Agarose,721,698,858.78897,114,1.230356691,1.29907,0.26249,0.06376,53,8,608.7604714
Cancer_aga_015_058,Cancer,Agarose,614,517,657.97622,137,1.272681277,1.22784,0.27018,0.06338,22,3,433.5080862
Cancer_aga_016_059,Cancer,Agarose,482,448,559.23924,81,1.248301875,1.62964,0.26128,0.06382,29,5,390.1986124
Cancer_aga_017_060,Cancer,Agarose,386,288,439.08282,118,1.524593125,2.184315,0.26276,0.06161,11,3,271.9827132
Cancer_aga_018_061,Cancer,Agarose,383,382,480.77028,56,1.258560942,0.73808,0.26355,0.06386,29,5,348.2474201
Cancer_aga_019_062,Cancer,Agarose,506,431,519.76309,113,1.205946845,0.96987,0.26274,0.06394,16,3,339.3530869
Cancer_aga_020_063,Cancer,Agarose,630,527,643.81869,143,1.221667343,1.26301,0.25803,0.06546,22,2,424.1537706
Cancer_aga_021_064,Cancer,Agarose,1031,799,980.64191,278,1.227336558,0.945265,0.27153,0.06641,26,10,621.1725976
Cancer_aga_022_065,Cancer,Agarose,1047,832,865.0916,278,1.039773558,0.93247,0.25384,0.06735,35,7,553.9046177
Cancer_aga_022_066,Cancer,Agarose,577,441,471.61107,166,1.069412857,0.865665,0.25416,0.06886,17,5,293.6601553
Cancer_aga_023_067,Cancer,Agarose,370,302,361.68321,100,1.197626523,1.714075,0.2653,0.06864,15,3,233.4370885
Cancer_aga_024_068,Cancer,Agarose,491,368,442.08654,151,1.20132212,1.11714,0.26571,0.06641,17,4,274.1355827
Cancer_aga_024_069,Cancer,Agarose,415,296,395.58529,138,1.336436791,1.491175,0.27425,0.06745,11,2,238.745658
Cancer_aga_025_070,Cancer,Agarose,479,416,475.44242,101,1.142890433,1.24431,0.2671,0.06529,17,4,317.5968534
Cancer_aga_026_071,Cancer,Agarose,397,371,499.37705,67,1.346029784,1.49564,0.25349,0.06397,21,6,347.2679442
Cancer_aga_027_072,Cancer,Agarose,615,475,737.58443,173,1.552809326,1.79216,0.27017,0.06461,14,2,458.2276037
Cancer_aga_028_073,Cancer,Agarose,899,843,899.83183,156,1.067416168,0.95747,0.25389,0.06676,62,11,625.5035227
Cancer_aga_029_074,Cancer,Agarose,1109,952,1192.18211,250,1.252292132,1.14166,0.26388,0.06226,58,8,791.1108894
Cancer_aga_030_075,Cancer,Agarose,913,847,876.13986,163,1.034403613,1.01285,0.25257,0.06483,52,10,605.2089409
Cancer_aga_031_076,Cancer,Agarose,793,727,891.03758,155,1.225636286,0.67857,0.25829,0.06653,39,10,600.8775169
Cancer_control001_078,Cancer,Control,849,746,979.57777,175,1.31310693,1.66729,0.26806,0.06294,40,8,659.3784522
Cancer_control002_079,Cancer,Control,557,510,730.14052,106,1.431648078,0.986445,0.25745,0.06373,37,3,505.4267651
Cancer_control003_080,Cancer,Control,779,623,769.05001,200,1.234430193,0.841085,0.27314,0.07454,25,4,492.7590469
Cancer_control004_081,Cancer,Control,1781,1407,1349.07144,507,0.958828316,0.91215,0.25947,0.06746,65,8,848.5210676
Cancer_control005_082,Cancer,Control,592,470,668.01604,149,1.421310723,1.36225,0.26313,0.0616,25,3,431.6849121
Cancer_control006_083,Cancer,Control,412,343,474.42603,101,1.383166268,1.43913,0.264,0.07023,21,1,307.3106326
Cancer_control007_084,Cancer,Control,455,389,475.74702,102,1.223000051,0.875585,0.26213,0.06524,28,8,321.5386011
Cancer_control008_085,Cancer,Control,302,266,390.66551,57,1.468667331,1.01286,0.27506,0.06335,12,2,266.6638681
Cancer_control009_086,Cancer,Control,489,394,518.56259,126,1.316148706,1.273515,0.27275,0.06018,13,2,331.187507
Cancer_control009_087,Cancer,Control,475,383,543.78654,120,1.419808198,1.47326,0.26839,0.06128,12,4,351.1621898
Cancer_control010_088,Cancer,Control,309,284,407.68551,59,1.435512359,1.84819,0.2768,0.05881,18,5,283.6844523
Cancer_control011_089,Cancer,Control,728,656,975.83212,135,1.487548963,1.26849,0.26279,0.05888,44,6,664.1141813
Cancer_control012_090,Cancer,Control,500,481,818.72413,79,1.702129168,2.03001,0.2677,0.05556,36,7,577.899791
Cancer_control013_091,Cancer,Control,383,324,469.77559,87,1.44992466,1.40557,0.26955,0.05914,11,2,310.4874688
Cancer_control014_092,Cancer,Control,1329,1084,1407.0935,315,1.298056734,1.16141,0.2626,0.06474,56,11,922.4612825
Cancer_control015_093,Cancer,Control,587,528,739.19935,117,1.399998769,1.89359,0.26098,0.05595,29,6,503.9273673
Cancer_control016_094,Cancer,Control,576,527,825.65379,102,1.566705484,1.898005,0.27175,0.0598,26,2,569.8707022
Cancer_control017_095,Cancer,Control,481,434,651.37606,91,1.500866498,1.22427,0.26985,0.06285,28,3,448.6512408
Cancer_control018_096,Cancer,Control,483,373,528.14819,144,1.41594689,1.21944,0.27702,0.0661,15,2,330.376974
Cancer_control018_097,Cancer,Control,347,271,386.38794,98,1.425785756,0.93752,0.27249,0.06837,11,2,240.4775842
Cancer_control019_098,Cancer,Control,1260,986,1280.69754,325,1.298881886,1.28335,0.26545,0.0657,44,8,820.0999062
Cancer_control020_099,Cancer,Control,321,275,502.8719,69,1.828625091,1.88358,0.27174,0.0576,23,0,339.6091357
Cancer_control021_100,Cancer,Control,608,574,671.27338,100,1.169465819,1.028795,0.25527,0.06602,32,11,463.2543524
Cancer_control022_101,Cancer,Control,565,480,716.16817,122,1.492017021,1.535605,0.27006,0.06192,24,2,475.396503
Cancer_control023_102,Cancer,Control,376,332,405.95808,77,1.222765301,1.18715,0.26617,0.06259,15,4,273.8293352
Cancer_control023_103,Cancer,Control,405,345,451.65885,89,1.309156087,1.67039,0.26063,0.06262,17,2,299.0103756
Cancer_control024_104,Cancer,Control,712,642,848.46002,133,1.321588816,1.33901,0.26549,0.06377,41,4,582.3071042
Cancer_control025_105,Cancer,Control,792,748,1021.66645,140,1.365864238,1.090085,0.26354,0.06129,52,11,707.6081311
Cancer_control026_106,Cancer,Control,240,220,402.48942,47,1.829497364,2.02582,0.27772,0.05962,14,1,278.0779462
Cancer_control027_107,Cancer,Control,403,331,462.36248,100,1.396865498,1.53974,0.2738,0.06473,17,1,301.3669793
Cancer_control027_108,Cancer,Control,441,409,624.40751,72,1.526668729,1.12227,0.26101,0.07235,21,5,438.032342
Cancer_control028_109,Cancer,Control,638,605,947.48405,102,1.566089339,1.7574,0.27319,0.05832,42,6,668.3756565
Cancer_control029_110,Cancer,Control,463,328,488.79045,153,1.490214787,1.08225,0.27125,0.06544,7,1,292.8725308
Cancer_control030_111,Cancer,Control,731,642,853.53273,154,1.329490234,0.72841,0.28321,0.06552,39,9,579.4817706
Cancer_control031_112,Cancer,Control,539,509,783.39861,90,1.539093536,0.999345,0.26437,0.0544,34,1,547.2003909
Cancer_control032_113,Cancer,Control,1071,984,1370.31747,178,1.392599055,1.14236,0.26756,0.06124,54,14,954.1159821
Cancer_control033_114,Cancer,Control,587,580,761.67808,84,1.313238069,1.050515,0.27261,0.06476,52,3,548.3874176
Cancer_control034_115,Cancer,Control,557,535,837.87244,89,1.56611671,1.52927,0.27076,0.05785,38,6,595.8369734
Cancer_control035_116,Cancer,Control,271,227,365.75304,65,1.611246872,1.30962,0.2837,0.06591,13,0,240.8819182
Cancer_control036_117,Cancer,Control,557,510,636.30303,104,1.247653,1.18271,0.26631,0.06319,28,6,438.1694614
Cancer_control036_118,Cancer,Control,406,449,640.41972,40,1.426324543,1.231605,0.26528,0.05908,37,8,484.596748
Cancer_control037_119,Cancer,Control,726,627,765.47969,153,1.22086075,0.92051,0.27309,0.06884,33,8,514.5554368
Cancer_control038_120,Cancer,Control,373,319,484.68242,87,1.519380627,1.11357,0.28249,0.06301,15,5,323.4364179
Cancer_control038_121,Cancer,Control,463,442,617.46454,75,1.396978597,1.66439,0.26502,0.05912,26,7,433.2258726
Cancer_control039_122,Cancer,Control,778,768,1026.60796,99,1.336729115,1.13845,0.26803,0.05774,51,6,738.1875492
Cancer_control_077,Cancer,Control,955,941,1182.4283,140,1.256565675,0.85824,0.25892,0.06191,64,11,834.9777487
NonCancer_2W_001_123,NonCancer,2W,1422,1191,1159.60542,334,0.973640151,0.6673,0.23928,0.06993,81,22,757.5189822
NonCancer_2W_002_124,NonCancer,2W,1255,934,959.13221,365,1.026908148,0.92254,0.25055,0.06873,41,3,594.1417968
NonCancer_2W_002_125,NonCancer,2W,1180,959,873.70561,296,0.91105903,0.639985,0.24308,0.07142,60,12,560.1178025
NonCancer_2W_002_126,NonCancer,2W,624,449,405.0361,193,0.902084855,0.67657,0.24674,0.07034,17,2,246.0218958
NonCancer_2W_003_127,NonCancer,2W,570,502,497.20345,125,0.99044512,0.67915,0.23902,0.06611,26,3,324.9438855
NonCancer_2W_004_128,NonCancer,2W,638,534,526.3401,152,0.985655618,0.678615,0.22961,0.06856,33,7,334.4014326
NonCancer_2W_005_129,NonCancer,2W,842,643,708.18872,261,1.101382146,0.91356,0.25108,0.06708,24,9,436.8942235
NonCancer_2W_006_130,NonCancer,2W,725,581,534.78208,208,0.920451084,0.6673,0.24417,0.07244,22,10,334.8619182
NonCancer_2W_007_131,NonCancer,2W,1223,935,861.94621,352,0.921867604,0.6673,0.2389,0.07217,49,13,540.517588
NonCancer_2W_008_132,NonCancer,2W,818,707,687.91684,198,0.97300826,0.6673,0.2609,0.0756,48,13,457.5818592
NonCancer_2W_008_133,NonCancer,2W,239,195,176.63248,64,0.90580759,0.6,0.24481,0.07283,9,4,114.9918713
NonCancer_2W_009_134,NonCancer,2W,2499,1945,1678.10993,692,0.862781455,0.68515,0.24621,0.07378,103,25,1064.471727
NonCancer_2W_010_135,NonCancer,2W,1659,1262,1177.43362,511,0.93299019,0.69683,0.25065,0.07082,55,9,726.2851077
NonCancer_2W_011_136,NonCancer,2W,1208,934,813.66884,369,0.871165782,0.6673,0.24247,0.07357,44,15,501.5984759
NonCancer_2W_013_137,NonCancer,2W,431,377,379.14252,97,1.005683077,0.94404,0.26105,0.06553,23,4,252.3081306
NonCancer_2W_014_138,NonCancer,2W,1277,1276,1208.22634,170,0.946885846,0.70268,0.24406,0.06797,101,33,874.3617763
NonCancer_2W_014_139,NonCancer,2W,588,518,508.45428,130,0.981571969,0.8648,0.26144,0.07003,35,3,336.1351459
NonCancer_2W_015_140,NonCancer,2W,947,770,678.41695,253,0.881060974,0.6673,0.24876,0.07464,36,12,434.9679563
NonCancer_2W_016_141,NonCancer,2W,1394,1185,1066.63789,324,0.900116363,0.683,0.24581,0.07252,69,25,706.621519
NonCancer_2W_017_142,NonCancer,2W,1197,1135,1122.5128,212,0.988998062,0.62645,0.25132,0.07001,83,25,777.5681419
NonCancer_2W_018_143,NonCancer,2W,784,660,619.79849,188,0.939088621,0.866075,0.2625,0.07152,36,7,403.7224326
NonCancer_2W_019_144,NonCancer,2W,1003,912,850.62766,209,0.932705768,0.89955,0.25602,0.07379,50,15,573.0990957
NonCancer_2W_020_145,NonCancer,2W,492,352,324.06302,164,0.92063358,0.684035,0.26374,0.07545,9,1,193.8557269
NonCancer_2W_021_146,NonCancer,2W,1306,906,775.46158,493,0.855917859,0.6673,0.26627,0.08354,29,6,449.7703678
NonCancer_2W_022_147,NonCancer,2W,800,639,644.78826,217,1.00905831,0.8962,0.26485,0.07808,23,2,408.8846751
NonCancer_2W_024_148,NonCancer,2W,1387,1155,1070.40296,333,0.92675581,0.92727,0.2593,0.06925,50,9,696.9824098
NonCancer_2W_025_149,NonCancer,2W,1174,1020,925.71116,257,0.907559961,0.83862,0.24723,0.07054,45,13,617.9560563
NonCancer_2W_025_150,NonCancer,2W,531,473,476.60454,111,1.007620592,0.85709,0.25706,0.06703,25,8,318.9930207
NonCancer_2W_026_151,NonCancer,2W,890,787,788.6341,210,1.002076366,1.20588,0.25583,0.06911,41,9,524.991248
NonCancer_2W_027_152,NonCancer,2W,1091,828,752.69996,329,0.909057923,0.72841,0.25755,0.07316,32,4,463.7525742
NonCancer_2W_028_153,NonCancer,2W,1284,1081,966.69819,292,0.894262895,0.719355,0.24899,0.07157,57,12,638.5321545
NonCancer_2W_029_154,NonCancer,2W,1483,1222,1125.7467,369,0.921232979,0.72841,0.24953,0.07168,49,18,720.7268294
NonCancer_2W_030_155,NonCancer,2W,1434,1535,1537.06389,160,1.001344554,0.78305,0.24944,0.0658,121,30,1123.637161
NonCancer_aga001_157,NonCancer,Agarose,899,729,633.0232,242,0.868344582,0.61532,0.23715,0.07321,44,9,408.6573086
NonCancer_aga001_158,NonCancer,Agarose,2219,1854,2001.01095,525,1.079293932,0.73513,0.26541,0.07046,109,14,1308.692676
NonCancer_aga002_159,NonCancer,Agarose,815,704,702.08843,198,0.997284702,0.68673,0.26499,0.07324,37,4,458.8439225
NonCancer_aga003_160,NonCancer,Agarose,1167,1018,1003.49423,235,0.985750717,0.7498,0.24409,0.06923,59,22,676.4512172
NonCancer_aga004_161,NonCancer,Agarose,1640,1409,1383.27632,352,0.981743307,0.848355,0.2542,0.06824,94,15,922.4962505
NonCancer_aga005_162,NonCancer,Agarose,453,317,292.75219,152,0.923508486,0.634695,0.25179,0.07391,10,5,175.9351993
NonCancer_aga005_163,NonCancer,Agarose,321,192,183.43744,133,0.955403333,0.66873,0.25994,0.07868,3,0,100.8187197
NonCancer_aga006_164,NonCancer,Agarose,435,296,309.88314,155,1.0469025,0.6497,0.22813,0.0753,11,1,182.2834924
NonCancer_aga006_165,NonCancer,Agarose,581,445,408.48579,180,0.917945596,0.6673,0.24185,0.07562,16,1,249.6642857
NonCancer_aga006_166,NonCancer,Agarose,1006,800,793.89617,264,0.992370213,0.90098,0.2662,0.07069,33,7,506.2746349
NonCancer_aga007_167,NonCancer,Agarose,706,686,658.1642,138,0.959423032,0.5099,0.25057,0.07493,62,20,455.8448526
NonCancer_aga007_168,NonCancer,Agarose,853,769,748.44456,180,0.973269909,0.669005,0.25933,0.07002,54,13,504.6925929
NonCancer_aga008_169,NonCancer,Agarose,974,818,758.719,229,0.92752934,0.55206,0.2374,0.07561,44,16,491.5157434
NonCancer_aga008_170,NonCancer,Agarose,815,729,816.63248,176,1.120209163,0.736155,0.25212,0.07095,45,9,536.7824641
NonCancer_aga009_171,NonCancer,Agarose,932,766,814.73652,235,1.0636247,0.72841,0.26394,0.07159,37,3,523.9878974
NonCancer_aga010_172,NonCancer,Agarose,869,774,750.96335,196,0.970236886,0.6,0.24974,0.07487,57,15,503.658076
NonCancer_aga011_173,NonCancer,Agarose,1041,926,958.53075,222,1.0351304,1.028755,0.25721,0.0712,66,9,642.010056
NonCancer_aga012_174,NonCancer,Agarose,602,486,473.43996,149,0.974156296,0.6673,0.23862,0.07137,26,7,307.8155262
NonCancer_aga013_175,NonCancer,Agarose,852,619,608.21192,264,0.982571761,0.6673,0.24883,0.07276,29,7,373.0232581
NonCancer_aga014_176,NonCancer,Agarose,904,754,760.00021,213,1.007957838,0.75047,0.26527,0.06956,41,5,497.3295811
NonCancer_aga015_177,NonCancer,Agarose,856,671,680.04258,222,1.013476274,0.674565,0.24826,0.07407,43,7,434.7401295
NonCancer_aga016_178,NonCancer,Agarose,513,367,303.08409,168,0.825842207,0.580525,0.22347,0.07301,15,4,182.7562281
NonCancer_aga016_179,NonCancer,Agarose,740,589,621.48537,198,1.05515343,0.961545,0.26499,0.07161,25,4,397.2875646
NonCancer_aga017_180,NonCancer,Agarose,943,767,810.51819,245,1.056738188,0.83254,0.26202,0.07096,38,9,523.6858577
NonCancer_aga017_181,NonCancer,Agarose,895,783,791.07299,202,1.010310332,0.61901,0.25844,0.07011,43,9,523.5609799
NonCancer_aga018_182,NonCancer,Agarose,997,871,872.82163,213,1.002091424,0.6673,0.25251,0.06972,54,11,578.0411727
NonCancer_aga018_183,NonCancer,Agarose,985,927,897.81026,170,0.968511607,0.81094,0.24711,0.06739,73,17,627.0861913
NonCancer_aga019_184,NonCancer,Agarose,1193,1041,1005.84375,241,0.966228386,0.77083,0.24852,0.07043,64,14,683.2426411
NonCancer_aga020_185,NonCancer,Agarose,835,750,786.46354,162,1.048618053,0.843785,0.26303,0.06788,36,17,533.6458511
NonCancer_aga021_186,NonCancer,Agarose,670,538,529.30373,177,0.983835929,0.72841,0.26824,0.07301,24,3,335.5824097
NonCancer_aga022_187,NonCancer,Agarose,1091,936,968.05089,231,1.034242404,1.01258,0.2519,0.06816,57,12,650.0191716
NonCancer_aga023_188,NonCancer,Agarose,594,451,445.54356,180,0.987901463,0.667875,0.25172,0.07244,12,6,269.910886
NonCancer_aga024_189,NonCancer,Agarose,791,677,646.12,166,0.954387001,0.6673,0.23465,0.07009,50,8,426.3864925
NonCancer_aga025_190,NonCancer,Agarose,1447,1214,1246.04307,324,1.026394621,0.77558,0.24783,0.0676,64,23,821.1554346
NonCancer_aga_156,NonCancer,Agarose,707,587,609.01855,184,1.037510307,0.72841,0.26314,0.07088,26,14,388.6500333
NonCancer_control001_191,NonCancer,Control,810,729,954.30088,165,1.309054705,1.22295,0.27652,0.07112,45,7,646.0517115
NonCancer_control002_192,NonCancer,Control,423,376,488.71515,87,1.299774335,1.1351,0.28596,0.06931,26,9,335.1985245
NonCancer_control003_193,NonCancer,Control,578,495,585.40771,118,1.182641838,0.93576,0.26938,0.07222,25,6,389.4816906
NonCancer_control003_194,NonCancer,Control,451,408,487.96932,100,1.196003235,0.931125,0.27028,0.07276,21,7,325.9979475
NonCancer_control004_195,NonCancer,Control,742,616,775.18594,181,1.258418734,0.65258,0.27528,0.07393,28,10,505.4918023
NonCancer_control005_196,NonCancer,Control,629,570,770.77251,130,1.352232474,1.11018,0.27726,0.06174,36,3,515.9433175
NonCancer_control005_197,NonCancer,Control,489,432,545.70292,113,1.263201204,0.72841,0.27254,0.06884,27,1,359.6388995
NonCancer_control006_198,NonCancer,Control,737,655,854.95901,144,1.305280931,0.94017,0.25899,0.06831,47,9,584.2145773
NonCancer_control007_199,NonCancer,Control,801,730,904.8153,148,1.239473014,0.797125,0.26754,0.07025,38,10,617.3601422
NonCancer_control008_200,NonCancer,Control,476,383,507.41769,122,1.324850366,1.43314,0.26893,0.06966,12,6,328.1485904
NonCancer_control009_201,NonCancer,Control,797,588,732.18178,234,1.245207109,1.0942,0.27414,0.07406,21,2,449.2158234
NonCancer_control009_202,NonCancer,Control,735,623,759.17551,169,1.218580273,1.37715,0.26817,0.07219,34,8,505.3056912
NonCancer_control010_203,NonCancer,Control,1500,1288,1446.95211,353,1.123410023,0.58282,0.26418,0.07243,71,14,949.6895835
NonCancer_control011_204,NonCancer,Control,402,312,362.95044,109,1.163302692,0.75253,0.25929,0.07703,13,3,229.4531418
NonCancer_control012_205,NonCancer,Control,781,610,764.4451,218,1.253188689,1.00533,0.27412,0.07034,32,5,484.3061379
NonCancer_control013_206,NonCancer,Control,692,628,735.77578,129,1.171617484,0.72841,0.26738,0.07207,38,12,505.5073279
NonCancer_control014_207,NonCancer,Control,1126,1053,1313.34,191,1.247236467,0.97071,0.2675,0.06731,73,19,915.229766
NonCancer_control015_208,NonCancer,Control,947,822,866.17731,222,1.053743686,0.499315,0.25892,0.07319,43,16,565.7251618
NonCancer_control016_209,NonCancer,Control,877,708,965.92823,224,1.36430541,1.12131,0.27283,0.07073,29,6,619.7105118
NonCancer_control017_210,NonCancer,Control,982,888,1119.57128,194,1.260778468,0.826455,0.26608,0.06949,65,7,760.242927
NonCancer_control018_211,NonCancer,Control,1428,1288,1586.91613,290,1.232077741,0.876585,0.26036,0.06581,64,18,1076.725928
NonCancer_control019_212,NonCancer,Control,549,467,755.58679,130,1.617958865,1.17637,0.27436,0.06643,22,2,493.761194
NonCancer_control020_213,NonCancer,Control,854,711,814.96754,209,1.146227201,0.85321,0.26926,0.07487,42,10,537.678011
NonCancer_control020_214,NonCancer,Control,701,546,692.95497,182,1.269148297,0.896825,0.25905,0.06784,22,3,440.5157737
NonCancer_control021_215,NonCancer,Control,929,897,1145.65767,153,1.277210334,0.63527,0.26821,0.06546,61,8,801.1058505
NonCancer_control023_216,NonCancer,Control,724,653,856.47841,133,1.311605528,0.97843,0.26292,0.06542,57,4,589.185706
NonCancer_control024_217,NonCancer,Control,628,582,698.77629,124,1.200646546,0.890995,0.26795,0.06869,39,11,480.7337254
NonCancer_control025_218,NonCancer,Control,883,828,1066.23645,155,1.287725181,1.04083,0.26405,0.06338,49,10,735.1043839
NonCancer_control026_219,NonCancer,Control,579,514,687.23349,125,1.337030136,1.21647,0.28186,0.06746,40,3,466.8923075