Sample,Mutation,Compression,n_Nodes,n_Edges,Total_Length,n_Mitochondria,Ave_Edge_Length,Median_Edge_Length,Ave_Width_um,Std_Width_um,ThreeWayJunc,FourWayJunc,MitoGraphCS
Cancer_control031_112,Cancer,Control,539,509,783.39861,90,1.539093536,0.999345,0.26437,0.0544,34,1,547.2003909
Cancer_control032_113,Cancer,Control,1071,984,1370.31747,178,1.392599055,1.14236,0.26755999999999996,0.061239999999999996,54,14,954.1159821
Cancer_control033_114,Cancer,Control,587,580,761.67808,84,1.313238069,1.0505149999999999,0.27260999999999996,0.06476,52,3,548.3874176
Cancer_control034_115,Cancer,Control,557,535,837.87244,89,1.56611671,1.5292700000000001,0.27076,0.05785,38,6,595.8369734
Cancer_control035_116,Cancer,Control,271,227,365.75304,65,1.611246872,1.30962,0.2837,0.06591,13,0,240.8819182
Cancer_control036_117,Cancer,Control,557,510,636.30303,104,1.2476530000000001,1.18271,0.26631,0.06319,28,6,438.1694614
Cancer_control036_118,Cancer,Control,406,449,640.41972,40,1.4263245430000002,1.2316049999999998,0.26528,0.059079999999999994,37,8,484.59674800000005
Cancer_control037_119,Cancer,Control,726,627,765.47969,153,1.22086075,0.92051,0.27309,0.06884,33,8,514.5554367999999
Cancer_control038_120,Cancer,Control,373,319,484.68242000000004,87,1.5193806269999999,1.1135700000000002,0.28249,0.06301,15,5,323.4364179
Cancer_control038_121,Cancer,Control,463,442,617.46454,75,1.396978597,1.66439,0.26502,0.059120000000000006,26,7,433.2258726
Cancer_control039_122,Cancer,Control,778,768,1026.60796,99,1.336729115,1.13845,0.26803,0.05774,51,6,738.1875492
Cancer_control_077,Cancer,Control,955,941,1182.4283,140,1.256565675,0.85824,0.25892,0.06191,64,11,834.9777487000001
NonCancer_2W_001_123,NonCancer,2W,1422,1191,1159.6054199999999,334,0.9736401509999999,0.6673,0.23928000000000002,0.06992999999999999,81,22,757.5189822000001
NonCancer_2W_002_124,NonCancer,2W,1255,934,959.13221,365,1.026908148,0.9225399999999999,0.25055,0.06873,41,3,594.1417968
NonCancer_2W_002_125,NonCancer,2W,1180,959,873.70561,296,0.91105903,0.639985,0.24308000000000002,0.07142000000000001,60,12,560.1178025
NonCancer_2W_002_126,NonCancer,2W,624,449,405.0361,193,0.902084855,0.67657,0.24674000000000001,0.07034,17,2,246.0218958
NonCancer_2W_003_127,NonCancer,2W,570,502,497.20345,125,0.99044512,0.67915,0.23901999999999998,0.06611,26,3,324.9438855
NonCancer_2W_004_128,NonCancer,2W,638,534,526.3401,152,0.985655618,0.678615,0.22960999999999998,0.06856,33,7,334.4014326
NonCancer_2W_005_129,NonCancer,2W,842,643,708.18872,261,1.101382146,0.91356,0.25108,0.06708,24,9,436.8942235
NonCancer_2W_006_130,NonCancer,2W,725,581,534.78208,208,0.9204510840000001,0.6673,0.24416999999999997,0.07244,22,10,334.8619182
NonCancer_2W_007_131,NonCancer,2W,1223,935,861.94621,352,0.921867604,0.6673,0.2389,0.07217,49,13,540.5175879999999
NonCancer_2W_008_132,NonCancer,2W,818,707,687.9168400000001,198,0.97300826,0.6673,0.2609,0.0756,48,13,457.5818592
NonCancer_2W_008_133,NonCancer,2W,239,195,176.63248000000002,64,0.90580759,0.6,0.24481,0.07282999999999999,9,4,114.9918713
NonCancer_2W_009_134,NonCancer,2W,2499,1945,1678.10993,692,0.862781455,0.68515,0.24620999999999998,0.07378,103,25,1064.4717269999999
NonCancer_2W_010_135,NonCancer,2W,1659,1262,1177.43362,511,0.93299019,0.6968300000000001,0.25065,0.07082000000000001,55,9,726.2851077
NonCancer_2W_011_136,NonCancer,2W,1208,934,813.66884,369,0.871165782,0.6673,0.24247,0.07357000000000001,44,15,501.5984759
NonCancer_2W_013_137,NonCancer,2W,431,377,379.14252,97,1.005683077,0.94404,0.26105,0.06552999999999999,23,4,252.3081306
NonCancer_2W_014_138,NonCancer,2W,1277,1276,1208.22634,170,0.9468858459999999,0.70268,0.24406,0.06797,101,33,874.3617763
NonCancer_2W_014_139,NonCancer,2W,588,518,508.45428,130,0.9815719690000001,0.8648,0.26144,0.07003,35,3,336.1351459
NonCancer_2W_015_140,NonCancer,2W,947,770,678.41695,253,0.881060974,0.6673,0.24875999999999998,0.07464,36,12,434.9679563
NonCancer_2W_016_141,NonCancer,2W,1394,1185,1066.63789,324,0.900116363,0.6829999999999999,0.24581,0.07252,69,25,706.621519
NonCancer_2W_017_142,NonCancer,2W,1197,1135,1122.5128,212,0.9889980620000001,0.62645,0.25132,0.07001,83,25,777.5681419
NonCancer_2W_018_143,NonCancer,2W,784,660,619.79849,188,0.9390886209999999,0.866075,0.2625,0.07152,36,7,403.72243260000005
NonCancer_2W_019_144,NonCancer,2W,1003,912,850.62766,209,0.9327057679999999,0.89955,0.25601999999999997,0.07379,50,15,573.0990957
NonCancer_2W_020_145,NonCancer,2W,492,352,324.06302,164,0.92063358,0.6840350000000001,0.26374000000000003,0.07545,9,1,193.8557269
NonCancer_2W_021_146,NonCancer,2W,1306,906,775.46158,493,0.8559178590000001,0.6673,0.26627,0.08354,29,6,449.77036780000003
NonCancer_2W_022_147,NonCancer,2W,800,639,644.7882599999999,217,1.00905831,0.8962,0.26485,0.07808,23,2,408.88467510000004
NonCancer_2W_024_148,NonCancer,2W,1387,1155,1070.40296,333,0.92675581,0.92727,0.2593,0.06925,50,9,696.9824097999999
NonCancer_2W_025_149,NonCancer,2W,1174,1020,925.71116,257,0.9075599609999999,0.83862,0.24723,0.07053999999999999,45,13,617.9560562999999
NonCancer_2W_025_150,NonCancer,2W,531,473,476.60454000000004,111,1.007620592,0.85709,0.25706,0.06702999999999999,25,8,318.9930207
NonCancer_2W_026_151,NonCancer,2W,890,787,788.6341,210,1.0020763659999998,1.2058799999999998,0.25583,0.06911,41,9,524.991248
NonCancer_2W_027_152,NonCancer,2W,1091,828,752.6999599999999,329,0.909057923,0.72841,0.25755,0.07316,32,4,463.75257419999997
NonCancer_2W_028_153,NonCancer,2W,1284,1081,966.6981900000001,292,0.894262895,0.719355,0.24899000000000002,0.07157000000000001,57,12,638.5321545
NonCancer_2W_029_154,NonCancer,2W,1483,1222,1125.7467,369,0.921232979,0.72841,0.24953000000000003,0.07168,49,18,720.7268293999999
NonCancer_2W_030_155,NonCancer,2W,1434,1535,1537.0638900000001,160,1.001344554,0.78305,0.24944000000000002,0.0658,121,30,1123.6371609999999
NonCancer_aga001_157,NonCancer,Agarose,899,729,633.0232,242,0.868344582,0.61532,0.23715,0.07321,44,9,408.6573086
NonCancer_aga001_158,NonCancer,Agarose,2219,1854,2001.01095,525,1.0792939320000001,0.7351300000000001,0.26541,0.07046000000000001,109,14,1308.692676
NonCancer_aga002_159,NonCancer,Agarose,815,704,702.08843,198,0.9972847020000001,0.6867300000000001,0.26499,0.07324,37,4,458.84392249999996
NonCancer_aga003_160,NonCancer,Agarose,1167,1018,1003.4942300000001,235,0.985750717,0.7498,0.24409,0.06923,59,22,676.4512172
NonCancer_aga004_161,NonCancer,Agarose,1640,1409,1383.27632,352,0.981743307,0.848355,0.2542,0.06824,94,15,922.4962505000001
NonCancer_aga005_162,NonCancer,Agarose,453,317,292.75219,152,0.9235084859999999,0.634695,0.25179,0.07391,10,5,175.9351993
NonCancer_aga005_163,NonCancer,Agarose,321,192,183.43743999999998,133,0.955403333,0.66873,0.25994,0.07868,3,0,100.8187197
NonCancer_aga006_164,NonCancer,Agarose,435,296,309.88313999999997,155,1.0469025,0.6497,0.22813000000000003,0.0753,11,1,182.2834924
NonCancer_aga006_165,NonCancer,Agarose,581,445,408.48579,180,0.9179455959999999,0.6673,0.24185,0.07562,16,1,249.6642857
NonCancer_aga006_166,NonCancer,Agarose,1006,800,793.89617,264,0.992370213,0.9009799999999999,0.2662,0.07069,33,7,506.27463489999997
NonCancer_aga007_167,NonCancer,Agarose,706,686,658.1642,138,0.959423032,0.5099,0.25056999999999996,0.07493,62,20,455.8448526000001
NonCancer_aga007_168,NonCancer,Agarose,853,769,748.4445599999999,180,0.9732699090000001,0.6690050000000001,0.25933,0.07002,54,13,504.69259289999997
NonCancer_aga008_169,NonCancer,Agarose,974,818,758.7189999999999,229,0.92752934,0.55206,0.2374,0.07561,44,16,491.51574339999996
NonCancer_aga008_170,NonCancer,Agarose,815,729,816.63248,176,1.120209163,0.736155,0.25211999999999996,0.07095,45,9,536.7824641
NonCancer_aga009_171,NonCancer,Agarose,932,766,814.73652,235,1.0636246999999999,0.72841,0.26394,0.07159,37,3,523.9878974
NonCancer_aga010_172,NonCancer,Agarose,869,774,750.96335,196,0.9702368859999999,0.6,0.24974000000000002,0.07487,57,15,503.658076
NonCancer_aga011_173,NonCancer,Agarose,1041,926,958.53075,222,1.0351304000000001,1.0287549999999999,0.25721,0.0712,66,9,642.010056
NonCancer_aga012_174,NonCancer,Agarose,602,486,473.43996,149,0.974156296,0.6673,0.23861999999999997,0.07137,26,7,307.8155262
NonCancer_aga013_175,NonCancer,Agarose,852,619,608.21192,264,0.982571761,0.6673,0.24883000000000002,0.07276,29,7,373.0232581
NonCancer_aga014_176,NonCancer,Agarose,904,754,760.0002099999999,213,1.007957838,0.75047,0.26527,0.06956,41,5,497.32958110000004
NonCancer_aga015_177,NonCancer,Agarose,856,671,680.0425799999999,222,1.013476274,0.674565,0.24825999999999998,0.07407000000000001,43,7,434.74012949999997
NonCancer_aga016_178,NonCancer,Agarose,513,367,303.08409,168,0.825842207,0.580525,0.22346999999999997,0.07301,15,4,182.7562281
NonCancer_aga016_179,NonCancer,Agarose,740,589,621.48537,198,1.05515343,0.9615450000000001,0.26499,0.07161000000000001,25,4,397.2875646
NonCancer_aga017_180,NonCancer,Agarose,943,767,810.51819,245,1.056738188,0.83254,0.26202,0.07096000000000001,38,9,523.6858576999999
NonCancer_aga017_181,NonCancer,Agarose,895,783,791.07299,202,1.010310332,0.6190100000000001,0.25844,0.07011,43,9,523.5609799
NonCancer_aga018_182,NonCancer,Agarose,997,871,872.82163,213,1.002091424,0.6673,0.25251,0.06972,54,11,578.0411727000001
NonCancer_aga018_183,NonCancer,Agarose,985,927,897.81026,170,0.968511607,0.81094,0.24711,0.06738999999999999,73,17,627.0861913
NonCancer_aga019_184,NonCancer,Agarose,1193,1041,1005.84375,241,0.9662283859999999,0.77083,0.24852,0.07042999999999999,64,14,683.2426411
NonCancer_aga020_185,NonCancer,Agarose,835,750,786.4635400000001,162,1.048618053,0.843785,0.26303000000000004,0.06788,36,17,533.6458511
NonCancer_aga021_186,NonCancer,Agarose,670,538,529.30373,177,0.983835929,0.72841,0.26824000000000003,0.07301,24,3,335.5824097
NonCancer_aga022_187,NonCancer,Agarose,1091,936,968.05089,231,1.034242404,1.01258,0.2519,0.06816,57,12,650.0191716
NonCancer_aga023_188,NonCancer,Agarose,594,451,445.54355999999996,180,0.9879014629999999,0.667875,0.25172,0.07244,12,6,269.910886
NonCancer_aga024_189,NonCancer,Agarose,791,677,646.12,166,0.954387001,0.6673,0.23465,0.07009,50,8,426.3864925
NonCancer_aga025_190,NonCancer,Agarose,1447,1214,1246.04307,324,1.026394621,0.77558,0.24783000000000002,0.0676,64,23,821.1554346
NonCancer_aga_156,NonCancer,Agarose,707,587,609.01855,184,1.037510307,0.72841,0.26314,0.07088,26,14,388.6500333
NonCancer_control001_191,NonCancer,Control,810,729,954.3008800000001,165,1.309054705,1.22295,0.27652,0.07112,45,7,646.0517115
NonCancer_control002_192,NonCancer,Control,423,376,488.71515,87,1.299774335,1.1351,0.28596,0.06931,26,9,335.1985245
NonCancer_control003_193,NonCancer,Control,578,495,585.40771,118,1.182641838,0.93576,0.26938,0.07222,25,6,389.48169060000004
NonCancer_control003_194,NonCancer,Control,451,408,487.96932000000004,100,1.196003235,0.931125,0.27028,0.07276,21,7,325.9979475
NonCancer_control004_195,NonCancer,Control,742,616,775.1859400000001,181,1.2584187340000001,0.65258,0.27528,0.07393,28,10,505.4918023
NonCancer_control005_196,NonCancer,Control,629,570,770.77251,130,1.352232474,1.11018,0.27726,0.061739999999999996,36,3,515.9433175
NonCancer_control005_197,NonCancer,Control,489,432,545.7029200000001,113,1.263201204,0.72841,0.27254,0.06884,27,1,359.63889950000004
NonCancer_control006_198,NonCancer,Control,737,655,854.9590099999999,144,1.305280931,0.9401700000000001,0.25899,0.06831,47,9,584.2145772999999
NonCancer_control007_199,NonCancer,Control,801,730,904.8153,148,1.239473014,0.797125,0.26754,0.07025,38,10,617.3601422
NonCancer_control008_200,NonCancer,Control,476,383,507.41769000000005,122,1.324850366,1.4331399999999999,0.26893,0.06966,12,6,328.1485904
NonCancer_control009_201,NonCancer,Control,797,588,732.18178,234,1.245207109,1.0942,0.27414,0.07406,21,2,449.21582340000003
NonCancer_control009_202,NonCancer,Control,735,623,759.1755099999999,169,1.218580273,1.37715,0.26816999999999996,0.07219,34,8,505.30569119999996
NonCancer_control010_203,NonCancer,Control,1500,1288,1446.95211,353,1.123410023,0.58282,0.26418,0.07243,71,14,949.6895835000001
NonCancer_control011_204,NonCancer,Control,402,312,362.95044,109,1.163302692,0.75253,0.25929,0.07703,13,3,229.4531418
NonCancer_control012_205,NonCancer,Control,781,610,764.4451,218,1.2531886890000001,1.0053299999999998,0.27412,0.07034,32,5,484.30613789999995
NonCancer_control013_206,NonCancer,Control,692,628,735.7757799999999,129,1.171617484,0.72841,0.26738,0.07207000000000001,38,12,505.5073279
NonCancer_control014_207,NonCancer,Control,1126,1053,1313.34,191,1.247236467,0.9707100000000001,0.2675,0.06731000000000001,73,19,915.229766
NonCancer_control015_208,NonCancer,Control,947,822,866.1773099999999,222,1.053743686,0.49931499999999995,0.25892,0.07318999999999999,43,16,565.7251618
NonCancer_control016_209,NonCancer,Control,877,708,965.9282300000001,224,1.36430541,1.12131,0.27283,0.07073,29,6,619.7105118
NonCancer_control017_210,NonCancer,Control,982,888,1119.5712800000001,194,1.260778468,0.8264549999999999,0.26608000000000004,0.06949,65,7,760.242927
NonCancer_control018_211,NonCancer,Control,1428,1288,1586.91613,290,1.232077741,0.8765850000000001,0.26036,0.06581000000000001,64,18,1076.7259279999998
NonCancer_control019_212,NonCancer,Control,549,467,755.5867900000001,130,1.617958865,1.1763700000000001,0.27436,0.06642999999999999,22,2,493.76119400000005
NonCancer_control020_213,NonCancer,Control,854,711,814.96754,209,1.1462272009999999,0.85321,0.26926,0.07487,42,10,537.6780110000001
NonCancer_control020_214,NonCancer,Control,701,546,692.95497,182,1.269148297,0.896825,0.25905,0.06784,22,3,440.51577369999995
NonCancer_control021_215,NonCancer,Control,929,897,1145.6576699999998,153,1.277210334,0.63527,0.26821,0.06546,61,8,801.1058505
NonCancer_control023_216,NonCancer,Control,724,653,856.4784099999999,133,1.311605528,0.9784299999999999,0.26292,0.06542,57,4,589.185706
NonCancer_control024_217,NonCancer,Control,628,582,698.77629,124,1.200646546,0.8909950000000001,0.26795,0.06869,39,11,480.73372539999997
NonCancer_control025_218,NonCancer,Control,883,828,1066.23645,155,1.2877251809999999,1.04083,0.26405,0.06337999999999999,49,10,735.1043839
NonCancer_control026_219,NonCancer,Control,579,514,687.2334900000001,125,1.3370301359999999,1.2164700000000002,0.28186,0.06746,40,3,466.8923075
